Date,NASDAQ,AAPL,IBM,MSFT
7/15/2020,10550.49023,97.381111,119.674973,206.996368
7/16/2020,10473.83008,96.182846,120.657677,202.897049
7/17/2020,10503.19043,95.988533,121.727936,201.862274
7/20/2020,10767.08984,98.011391,122.95388,210.538528
7/21/2020,10680.36035,96.658661,122.652252,207.70282
7/22/2020,10706.12988,96.930199,125.191696,210.687775
7/23/2020,10461.41992,92.518288,123.887924,201.523972
7/24/2020,10363.17969,92.289093,122.389549,200.290207
7/27/2020,10536.26953,94.476364,122.798195,202.827408
7/28/2020,10402.08984,92.924355,121.10524,201.006592
7/29/2020,10542.94043,94.705559,121.932259,203.036346
7/30/2020,10587.80957,95.851517,119.577682,202.877151
7/31/2020,10745.26953,105.886086,119.6166,203.981583
8/3/2020,10902.79981,108.554153,120.949562,215.453751
8/4/2020,10941.16992,109.279099,122.438202,212.220047
8/5/2020,10998.40039,109.675194,122.058739,211.871811
8/6/2020,11108.07031,113.501678,122.710632,215.264709
8/7/2020,11010.98047,110.921135,123.173912,211.414124
8/10/2020,10968.36035,112.533356,125.293182,207.205322
8/11/2020,10782.82031,109.186623,124.938332,202.359772
8/12/2020,11012.24023,112.815369,124.889038,208.140625
8/13/2020,11042.5,114.81192,123.242912,207.653061
8/14/2020,11019.29981,114.709602,123.479485,207.852066
8/17/2020,11129.73047,114.41011,122.661346,209.225143
8/18/2020,11210.83984,115.363472,123.134483,210.429092
8/19/2020,11146.45996,115.508217,122.069923,209.15242
8/20/2020,11264.9502,118.071297,121.389786,214.019684
8/21/2020,11311.79981,124.1558,121.399643,212.46376
8/24/2020,11379.71973,125.640739,123.883621,213.132004
8/25/2020,11466.46973,124.610016,122.85849,215.904755
8/26/2020,11665.05957,126.304596,122.395203,220.572525
8/27/2020,11625.33984,124.794701,122.868347,225.988358
8/28/2020,11695.62988,124.592552,123.282341,228.312271
8/31/2020,11775.45996,128.817749,121.547493,224.941086
9/1/2020,11939.66992,133.948898,121.636215,226.676559
9/2/2020,12056.44043,131.173691,126.347885,231.045105
9/3/2020,11458.09961,120.671806,122.671204,216.73259
9/4/2020,11313.12988,120.751671,120.551941,213.690552
9/8/2020,10847.69043,112.625694,119.477516,202.130814
9/9/2020,11141.55957,117.117943,120.512512,210.738266
9/10/2020,10919.58984,113.29454,118.8368,204.833725
9/11/2020,10853.54981,111.807106,119.723938,203.497238
9/14/2020,11056.65039,115.161316,120.344933,204.873627
9/15/2020,11190.32031,115.341011,120.689934,208.234833
9/16/2020,11050.46973,111.936882,122.444496,204.514572
9/17/2020,10910.28027,110.149963,123.134483,202.380157
9/18/2020,10793.28027,106.655991,121.005363,199.86673
9/21/2020,10778.79981,109.890411,118.531235,202.011124
9/22/2020,10963.63965,111.617432,118.787521,206.878372
9/23/2020,10632.99023,106.935509,117.131531,200.066208
9/24/2020,10672.26953,108.033615,116.402107,202.659424
9/25/2020,10913.55957,112.086624,117.249817,207.277344
9/28/2020,11117.53027,114.762009,119.990082,208.893112
9/29/2020,11085.25,113.893501,119.21138,206.718796
9/30/2020,11167.50977,115.610542,119.930939,209.780777
10/1/2020,11326.50977,116.58886,119.35923,211.905228
10/2/2020,11075.01953,112.825348,118.846664,205.651596
10/5/2020,11332.49023,116.299355,120.266083,209.830658
10/6/2020,11154.59961,112.965111,120.226654,205.37233
10/7/2020,11364.59961,114.881805,122.296638,209.282089
10/8/2020,11420.98047,114.771988,129.61058,210.030136
10/9/2020,11579.94043,116.768547,125.963463,215.246475
10/12/2020,11876.25977,124.185753,125.391754,220.821869
10/13/2020,11863.90039,120.891434,123.311913,222.278061
10/14/2020,11768.73047,120.981277,124.139908,220.283279
10/15/2020,11713.87012,120.502106,123.104912,219.086426
10/16/2020,11671.55957,118.81501,124.130051,219.086426
10/19/2020,11478.87988,115.780251,123.725906,213.660629
10/20/2020,11516.49023,117.307617,115.692406,214.089493
10/21/2020,11484.69043,116.668724,113.415413,214.23912
10/22/2020,11506.00977,115.550644,114.105415,214.328873
10/23/2020,11548.28027,114.841873,114.34198,215.665375
10/26/2020,11358.94043,114.851852,110.616013,209.531433
10/27/2020,11431.34961,116.399178,108.979736,212.693161
10/28/2020,11004.87012,111.008476,105.125626,202.150757
10/29/2020,11185.58984,115.121384,107.353325,204.185425
10/30/2020,10911.58984,108.672516,110.064018,201.941315
11/2/2020,10957.61035,108.582664,111.29615,201.801666
11/3/2020,11160.57031,110.249794,112.528282,205.890961
11/4/2020,11590.78027,114.752022,110.300583,215.824951
11/5/2020,11890.92969,118.824997,113.129562,222.70694
11/6/2020,11895.23047,118.690002,112.409996,223.135818
11/9/2020,11713.78027,116.32,115.529999,217.819733
11/10/2020,11553.86035,115.970001,117.910004,210.459
11/11/2020,11786.42969,119.489998,117.199997,215.984543
11/12/2020,11709.58984,119.209999,114.5,214.877441
11/13/2020,11829.29004,119.260002,116.849998,215.944641
11/16/2020,11924.12988,120.300003,118.360001,216.662766
11/17/2020,11899.33984,119.389999,117.699997,213.900009
11/18/2020,11801.59961,118.029999,116.769997,211.080002
11/19/2020,11904.70996,118.639999,117.18,212.419998
11/20/2020,11854.96973,117.339996,116.940002,210.389999
11/23/2020,11880.62988,113.849998,120.089996,210.110001
11/24/2020,12036.79004,115.169998,124.419998,213.860001
11/25/2020,12094.40039,116.029999,124.199997,213.869995
11/27/2020,12205.84961,116.589996,124.349998,215.229996
11/30/2020,12198.74023,119.050003,123.519997,214.070007
12/1/2020,12355.11035,122.720001,123.160004,216.210007
12/2/2020,12349.37012,123.080002,124.620003,215.369995
12/3/2020,12377.17969,122.940002,123.610001,214.240005
12/4/2020,12464.23047,122.25,127.199997,214.360001
12/7/2020,12519.9502,123.75,124.699997,214.289993
12/8/2020,12582.76953,124.379997,125.709999,216.009995
12/9/2020,12338.9502,121.779999,126.790001,211.800003
12/10/2020,12405.80957,123.239998,124.959999,210.520004
12/11/2020,12377.87012,122.410004,124.269997,213.259995
12/14/2020,12440.04004,121.779999,123.529999,214.199997
12/15/2020,12595.05957,127.879997,125.93,214.130005
12/16/2020,12658.19043,127.809998,125.550003,219.279999
12/17/2020,12764.75,128.699997,125.550003,219.419998
